id,subject,body,text,category,category_id
social_media_80,Digital Ritual Experience Creation,Cross-cultural ceremony design. Join: virtualrituals.space Anthropological framework.,Digital Ritual Experience Creation Cross-cultural ceremony design. Join: virtualrituals.space Anthropological framework.,social_media,2
social_media_872,Memories from this week in 2021,"45 friends checked in at ""Downtown Cafe"". See photos and menu: social.com/places/cafe.","Memories from this week in 2021 45 friends checked in at ""Downtown Cafe"". See photos and menu: social.com/places/cafe.",social_media,2
social_media_1497,News: Mike Chen started new position,"Group update: ""Hiking Buddies"" posted article. Trending in ""Startup Founders"": best summer destination.","News: Mike Chen started new position Group update: ""Hiking Buddies"" posted article. Trending in ""Startup Founders"": best summer destination.",social_media,2
social_media_1555,Nearby: Meetup today 8PM,View profile: social.com/profile/john123 Accept/reject: social.com/friends/pending.,Nearby: Meetup today 8PM View profile: social.com/profile/john123 Accept/reject: social.com/friends/pending.,social_media,2
social_media_1664,Nearby: Product Launch today 9AM,story from Paris received 234 likes and 67 comments. See insights: social.com/insights/post123.,Nearby: Product Launch today 9AM story from Paris received 234 likes and 67 comments. See insights: social.com/insights/post123.,social_media,2
social_media_1199,Event invitation: Workshop Oct 10,View profile: platform.com/users/sarah Accept/reject: social.com/friends/pending.,Event invitation: Workshop Oct 10 View profile: platform.com/users/sarah Accept/reject: social.com/friends/pending.,social_media,2
social_media_252,New event: Product Launch,article from Sydney received 875 likes and 12 comments. See insights: social.com/insights/post123.,New event: Product Launch article from Sydney received 875 likes and 12 comments. See insights: social.com/insights/post123.,social_media,2
social_media_1083,John Smith liked your article,"Group ""Photography Group"" invited you. RSVP: platform.com/events/workshop.","John Smith liked your article Group ""Photography Group"" invited you. RSVP: platform.com/events/workshop.",social_media,2
social_media_447,"8 new messages in ""Tech Enthusiasts"" chat","Group update: ""Hiking Buddies"" posted story. Trending in ""Remote Workers"": favorite tech tools.","8 new messages in ""Tech Enthusiasts"" chat Group update: ""Hiking Buddies"" posted story. Trending in ""Remote Workers"": favorite tech tools.",social_media,2
social_media_1025,5th anniversary on LinkedIn!,"Group ""Photography Group"" invited you. RSVP: social.com/events/meetup.","5th anniversary on LinkedIn! Group ""Photography Group"" invited you. RSVP: social.com/events/meetup.",social_media,2
social_media_2244,New event: Product Launch,"""College reunion photos"" - view album: social.com/albums/vacation2018.","New event: Product Launch ""College reunion photos"" - view album: social.com/albums/vacation2018.",social_media,2
social_media_695,New event: Workshop,"Your group ""Photography Group"" is live streaming. Join: social.com/live/conference.","New event: Workshop Your group ""Photography Group"" is live streaming. Join: social.com/live/conference.",social_media,2
social_media_622,New follower: David Kim,photo from Paris received 875 likes and 44 comments. See insights: platform.com/analytics/content.,New follower: David Kim photo from Paris received 875 likes and 44 comments. See insights: platform.com/analytics/content.,social_media,2
social_media_8,Popular near you: New cafe opening,"12 friends checked in at ""Central Perk"". See photos and menu: social.com/places/central-perk.","Popular near you: New cafe opening 12 friends checked in at ""Central Perk"". See photos and menu: social.com/places/central-perk.",social_media,2
social_media_1968,1st anniversary on Twitter!,article from Paris received 234 likes and 67 comments. See insights: platform.com/analytics/content.,1st anniversary on Twitter! article from Paris received 234 likes and 67 comments. See insights: platform.com/analytics/content.,social_media,2
social_media_825,Live now: Workshop keynote,"23 friends checked in at ""Central Perk"". See photos and menu: social.com/places/cafe.","Live now: Workshop keynote 23 friends checked in at ""Central Perk"". See photos and menu: social.com/places/cafe.",social_media,2
social_media_1165,Popular near you: Webinar,"Mike: ""Check this out"" David: ""Weather looks great!"" Reply: platform.com/messages/group.","Popular near you: Webinar Mike: ""Check this out"" David: ""Weather looks great!"" Reply: platform.com/messages/group.",social_media,2
social_media_793,1st anniversary on LinkedIn!,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.","1st anniversary on LinkedIn! ""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,2
social_media_28,Event Reminder: Book Club Tonight 8PM,"Discussing ""Project Hail Mary"". Join Zoom: socialevents.com/virtual/book-club-238","Event Reminder: Book Club Tonight 8PM Discussing ""Project Hail Mary"". Join Zoom: socialevents.com/virtual/book-club-238",social_media,2
social_media_2116,Live now: Workshop keynote,View profile: social.com/profile/john123 Accept/reject: social.com/friends/pending.,Live now: Workshop keynote View profile: social.com/profile/john123 Accept/reject: social.com/friends/pending.,social_media,2
social_media_277,Nearby: Meetup today 6PM,"""Great insight!"" View: social.com/notifications Reply or disable: platform.com/notifications.","Nearby: Meetup today 6PM ""Great insight!"" View: social.com/notifications Reply or disable: platform.com/notifications.",social_media,2
social_media_792,News from groups you follow,"Group ""Book Club"" invited you. RSVP: platform.com/events/workshop.","News from groups you follow Group ""Book Club"" invited you. RSVP: platform.com/events/workshop.",social_media,2
social_media_67,Synesthesia Perception Mapping Project,Share cross-sensory experiences. Research: perceptual-studies.org Neurological diversity.,Synesthesia Perception Mapping Project Share cross-sensory experiences. Research: perceptual-studies.org Neurological diversity.,social_media,2
social_media_992,News: David Kim started new position,"Your group ""Photography Group"" is live streaming. Join: social.com/live/conference.","News: David Kim started new position Your group ""Photography Group"" is live streaming. Join: social.com/live/conference.",social_media,2
social_media_1315,Event invitation: Workshop Aug 25,article from Paris received 678 likes and 12 comments. See insights: platform.com/analytics/content.,Event invitation: Workshop Aug 25 article from Paris received 678 likes and 12 comments. See insights: platform.com/analytics/content.,social_media,2
social_media_245,Platform Evolution: Major Feature Enhancements,"Based on your feedback, we've launched revolutionary updates: 1) Collaborative whiteboard spaces, 2) 4K HDR video streaming, 3) Smart content curation AI. Explore new features: platformupdates.com/october-release?version=9.0. Temporary legacy interface available until December 1. Notable improvements: 60% faster loading, enhanced accessibility compliance, and cross-platform synchronization. Premium members receive early access to experimental features - opt-in through settings. Report bugs via in-app feedback system with priority routing.","Platform Evolution: Major Feature Enhancements Based on your feedback, we've launched revolutionary updates: 1) Collaborative whiteboard spaces, 2) 4K HDR video streaming, 3) Smart content curation AI. Explore new features: platformupdates.com/october-release?version=9.0. Temporary legacy interface available until December 1. Notable improvements: 60% faster loading, enhanced accessibility compliance, and cross-platform synchronization. Premium members receive early access to experimental features - opt-in through settings. Report bugs via in-app feedback system with priority routing.",social_media,2
social_media_2001,Poll: Vote for weekend plans,"""Beach vacation with family"" - view album: platform.com/memories/beach.","Poll: Vote for weekend plans ""Beach vacation with family"" - view album: platform.com/memories/beach.",social_media,2
social_media_1892,News: Sarah Johnson started new position,"Group update: ""Photography Group"" posted video. Trending in ""Startup Founders"": weekend plans.","News: Sarah Johnson started new position Group update: ""Photography Group"" posted video. Trending in ""Startup Founders"": weekend plans.",social_media,2
social_media_1750,"15 new messages in ""Tech Enthusiasts"" chat","Group update: ""Hiking Buddies"" posted photo. Trending in ""Remote Workers"": weekend plans.","15 new messages in ""Tech Enthusiasts"" chat Group update: ""Hiking Buddies"" posted photo. Trending in ""Remote Workers"": weekend plans.",social_media,2
social_media_726,"23 new messages in ""Book Club"" chat","""Thanks for sharing!"" View: social.com/notifications Reply or disable: platform.com/notifications.","23 new messages in ""Book Club"" chat ""Thanks for sharing!"" View: social.com/notifications Reply or disable: platform.com/notifications.",social_media,2
